Vendor id,expedia,Expedia Status
FR-75010-37,110151852,Stop Sold
FR-75010-38,110139191,Stop Sold
FR-75010-39,110139214,Stop Sold
FR-75010-40,110139516,Stop Sold
FR-75010-43,110157474,Stop Sold
FR-75010-44,110139980,Stop Sold
FR-75010-45,110139677,Stop Sold
FR-75010-47,110138619,Stop Sold
FR-75010-48,110140060,Stop Sold
FR-75010-49,110140028,Stop Sold
FR-75010-50,110139230,Stop Sold
FR-75010-51,110138533,Stop Sold
FR-75010-52,110138495,Stop Sold
FR-75010-53,110159740,Stop Sold
FR-75010-54,110139123,Stop Sold
FR-75010-55,110138806,Stop Sold
FR-75010-57,110139579,Stop Sold
FR-75010-58,110139160,Stop Sold
FR-75010-59,110138723,Stop Sold
FR-75010-60,110139673,Stop Sold
FR-75010-62,110139104,Stop Sold
FR-75010-63,110138733,Stop Sold
FR-75010-65,110138939,Stop Sold
FR-75010-66,110138479,Stop Sold
FR-75010-67,110154361,Stop Sold
FR-75010-68,110147787,Stop Sold
FR-75010-69,110139585,Stop Sold
FR-75010-70,110139270,Stop Sold
FR-75010-71,110139288,Stop Sold
FR-75010-72,110139471,Stop Sold
FR-75010-73,110138934,Stop Sold
FR-75010-74,110138732,Stop Sold
FR-75010-75,110140189,Stop Sold
FR-75010-76,110139314,Stop Sold
FR-75010-77,110138908,Stop Sold
FR-75010-78,110138748,Stop Sold
FR-75010-79,110140251,Stop Sold
FR-75010-81,110140098,Stop Sold
FR-75010-82,110138750,Stop Sold
FR-75010-83,110156280,Stop Sold
FR-75010-84,110220731,Stop Sold
FR-75011-100,110139005,Stop Sold
FR-75011-101,110148893,Stop Sold
FR-75011-103,110139180,Stop Sold
FR-75011-104,110138825,Stop Sold
FR-75011-105,110138847,Stop Sold
FR-75011-107,110139584,Stop Sold
FR-75011-108,110139657,Stop Sold
FR-75011-109,110139580,Stop Sold
FR-75011-114,110147833,Stop Sold
FR-75011-115,110139070,Stop Sold
FR-75011-117,110138602,Stop Sold
FR-75011-118,110138787,Stop Sold
FR-75011-120,110139266,Stop Sold
FR-75011-121,110147094,Stop Sold
FR-75011-122,110148799,Stop Sold
FR-75011-123,110139100,Stop Sold
FR-75011-125,110139012,Stop Sold
FR-75011-127,110140113,Stop Sold
FR-75011-128,110156865,Stop Sold
FR-75011-131,110139831,Stop Sold
FR-75011-132,110138729,Stop Sold
FR-75011-134,110139269,Stop Sold
FR-75011-137,110138681,Stop Sold
FR-75011-139,110138767,Stop Sold
FR-75011-141,110156250,Stop Sold
FR-75011-142,110148961,Stop Sold
FR-75011-143,110139079,Stop Sold
FR-75011-144,110138728,Stop Sold
FR-75011-147,110139518,Stop Sold
FR-75011-148,110157033,Stop Sold
FR-75011-149,110139316,Stop Sold
FR-75011-150,110139627,Stop Sold
FR-75011-151,110139653,Stop Sold
FR-75011-19,109686342,Stop Sold
FR-75011-20,109690546,Stop Sold
FR-75011-21,109687674,Stop Sold
FR-75011-22,109674871,Stop Sold
FR-75011-23,109675284,Stop Sold
FR-75011-25,109675393,Stop Sold
FR-75011-26,109680961,Stop Sold
FR-75011-30,110143288,Stop Sold
FR-75011-31,109690856,Stop Sold
FR-75011-32,109680100,Stop Sold
FR-75011-33,109675278,Stop Sold
FR-75011-34,109680273,Stop Sold
FR-75011-35,109686149,Stop Sold
FR-75011-36,109689817,Stop Sold
FR-75011-37,109674251,Stop Sold
FR-75011-38,109688653,Stop Sold
FR-75011-39,109685145,Stop Sold
FR-75011-40,109690059,Stop Sold
FR-75011-41,109686123,Stop Sold
FR-75011-42,109684415,Stop Sold
FR-75011-44,109687491,Stop Sold
FR-75011-45,109690318,Stop Sold
FR-75011-46,109685376,Stop Sold
FR-75011-47,109674575,Stop Sold
FR-75011-49,109690549,Stop Sold
FR-75011-51,109681580,Stop Sold
FR-75011-52,109675287,Stop Sold
FR-75011-53,109695514,Stop Sold
FR-75011-54,109680343,Stop Sold
FR-75011-55,109686343,Stop Sold
FR-75011-56,109695580,Stop Sold
FR-75011-57,109689221,Stop Sold
FR-75011-58,109680752,Stop Sold
FR-75011-60,109690821,Stop Sold
FR-75011-61,109680537,Stop Sold
FR-75011-62,109910315,Stop Sold
FR-75011-64,109688381,Stop Sold
FR-75011-65,109684922,Stop Sold
FR-75011-67,109690058,Stop Sold
FR-75011-68,109687676,Stop Sold
FR-75011-69,109675507,Stop Sold
FR-75011-70,109688375,Stop Sold
FR-75011-71,110145345,Stop Sold
FR-75011-72,110148263,Stop Sold
FR-75011-73,110148937,Stop Sold
FR-75011-74,110159651,Stop Sold
FR-75011-75,110158832,Stop Sold
