uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
106940190|106940190|106940190_000001|Bautismos S/N 26 nov 1970–18 abr 1971 - DGS(106940190)|Bautismos S/N 26 nov 1970–18 abr 1971 - DGS(106940190)|ES|Español|1971/1971|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940191|106940191|106940191_000001|Bautismos S/N 9 jul 1979–6 jul 1980 - DGS(106940191)|Bautismos S/N 9 jul 1979–6 jul 1980 - DGS(106940191)|ES|Español|1980/1980|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940192|106940192|106940192_000001|Bautismos S/N 17 oct 1971–27 mar 1972 - DGS(106940192)|Bautismos S/N 17 oct 1971–27 mar 1972 - DGS(106940192)|ES|Español|1972/1972|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940193|106940193|106940193_000001|Bautismos S/N 15 ago–17 oct 1971 - DGS(106940193)|Bautismos S/N 15 ago–17 oct 1971 - DGS(106940193)|ES|Español|1971/1971|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940194|106940194|106940194_000001|Bautismos S/N 2 jul–19 nov 1978 - DGS(106940194)|Bautismos S/N 2 jul–19 nov 1978 - DGS(106940194)|ES|Español|1978/1978|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940195|106940195|106940195_000001|Bautismos S/N 8–26 may 1967 - DGS(106940195)|Bautismos S/N 8–26 may 1967 - DGS(106940195)|ES|Español|1967/1967|Inmaculada Concepción, Velille, Velille, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940196|106940196|106940196_000001|Bautismos S/N 8 jul 1983–6 abr 1985 - DGS(106940196)|Bautismos S/N 8 jul 1983–6 abr 1985 - DGS(106940196)|ES|Español|1985/1985|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940197|106940197|106940197_000001|Bautismos S/N 13 sep–4 dic 1972 - DGS(106940197)|Bautismos S/N 13 sep–4 dic 1972 - DGS(106940197)|ES|Español|1972/1972|Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú; San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940198|106940198|106940198_000001|Bautismos S/N 15 sep–17 oct 1983 - DGS(106940198)|Bautismos S/N 15 sep–17 oct 1983 - DGS(106940198)|ES|Español|1983/1983|San Lucas, Layo, Layo, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940199|106940199|106940199_000001|Bautismos S/N 1 sep–11 oct 1970 - DGS(106940199)|Bautismos S/N 1 sep–11 oct 1970 - DGS(106940199)|ES|Español|1970/1970|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
