Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
104242405,w    Amazing Loft in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242328,Magnificent Loft in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242619,Beautiful Loft with Amazing view in Cuauhtemoc,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104242730,w    Amazing 2BR in Chico,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242347,w   Enchanting Loft in El Nogal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242401,w   Stunning loft in El Poblado,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242346,Contemporary Loft in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242151,Classy Loft in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242155,w    Outstanding Loft in parque 93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242278,w    Artistic Loft in Unique Building,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242345,w    Captivating 2BR in Parque Virrey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242388,w   Breathtaking 2BR Apartment w  AC in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242341,w    Vibrant Duplex in Chico,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
104242335,w    Modern Loft in Chapinero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242315,w    Elegant 2BR in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242275,Fantastic 2BR with Balcony in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242381,Amazing loft in Chapinero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242191,w    Stunning 3BR with AC in Laureles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242362,w   Spectacular 2BR w  Balcony n AC in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242325,w    Unique loft in Virrey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
