uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
112221786|112221786|112221786_000001|Bautismos 1950 - DGS(112221786)|Bautismos 1950 - DGS(112221786)|ES|Español|1950/1950|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|71|Bautizo
112222390|112222390|112222390_000001|Bautismos 1949 - DGS(112222390)|Bautismos 1949 - DGS(112222390)|ES|Español|1949/1949|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|70|Bautizo
112222818|112222818|112222818_000001|Bautismos 1949 - DGS(112222818)|Bautismos 1949 - DGS(112222818)|ES|Español|1949/1949|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|69|Bautizo
112222988|112222988|112222988_000001|Bautismos 1948 - DGS(112222988)|Bautismos 1948 - DGS(112222988)|ES|Español|1948/1948|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|68|Bautizo
112223066|112223066|112223066_000001|Bautismos 1947 - DGS(112223066)|Bautismos 1947 - DGS(112223066)|ES|Español|1947/1947|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|67|Bautizo
112223242|112223242|112223242_000001|Bautismos 1946 - DGS(112223242)|Bautismos 1946 - DGS(112223242)|ES|Español|1946/1946|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|66|Bautizo
112223435|112223435|112223435_000001|Bautismos 1945 - DGS(112223435)|Bautismos 1945 - DGS(112223435)|ES|Español|1945/1945|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|65|Bautizo
112224190|112224190|112224190_000001|Bautismos 1945 - DGS(112224190)|Bautismos 1945 - DGS(112224190)|ES|Español|1945/1945|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|64|Bautizo
112224347|112224347|112224347_000001|Bautismos 1944 - DGS(112224347)|Bautismos 1944 - DGS(112224347)|ES|Español|1944/1944|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|63|Bautizo
112224428|112224428|112224428_000001|Bautismos 1943 - DGS(112224428)|Bautismos 1943 - DGS(112224428)|ES|Español|1943/1943|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|62|Bautizo
112225367|112225367|112225367_000001|Bautismos 1942 - DGS(112225367)|Bautismos 1942 - DGS(112225367)|ES|Español|1942/1942|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|61|Bautizo
112227538|112227538|112227538_000001|Bautismos 1942 - DGS(112227538)|Bautismos 1942 - DGS(112227538)|ES|Español|1942/1942|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|60|Bautizo
112227576|112227576|112227576_000001|Bautismos 1941 - DGS(112227576)|Bautismos 1941 - DGS(112227576)|ES|Español|1941/1941|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|59|Bautizo
112227726|112227726|112227726_000001|Bautismos 1940 - DGS(112227726)|Bautismos 1940 - DGS(112227726)|ES|Español|1940/1940|Matriz Catedral Del Callao, Callao, Callao, Perú|Bautizo|58|Bautizo
