uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
112024260|112024260|112024260_000001|Bautismos de adultos_2001,- - DGS(112024260)|Bautismos de adultos_2001,- - DGS(112024260)|ES|Español|2001|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2001|
112024298|112024298|112024298_000001|Bautismos de adultos_2000,- - DGS(112024298)|Bautismos de adultos_2000,- - DGS(112024298)|ES|Español|2000|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2000|
112024388|112024388|112024388_000001|Bautismos de adultos_1999,- - DGS(112024388)|Bautismos de adultos_1999,- - DGS(112024388)|ES|Español|1999|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-1999|
112024421|112024421|112024421_000001|Bautismos de adultos_1998,- - DGS(112024421)|Bautismos de adultos_1998,- - DGS(112024421)|ES|Español|1998|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-1998|
112024489|112024489|112024489_000001|Defunciones parroquiales_1944,Vol 29 - DGS(112024489)|Defunciones parroquiales_1944,Vol 29 - DGS(112024489)|ES|Español|1944|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 29|Defunciones parroquiales-1942—1944|
112024782|112024782|112024782_000001|Defunciones parroquiales_1942,Vol 28 - DGS(112024782)|Defunciones parroquiales_1942,Vol 28 - DGS(112024782)|ES|Español|1942|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 28|Defunciones parroquiales-1940—1942|
112024954|112024954|112024954_000001|Defunciones parroquiales_1940,Vol 27 - DGS(112024954)|Defunciones parroquiales_1940,Vol 27 - DGS(112024954)|ES|Español|1940|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 27|Defunciones parroquiales-1938—1940|
112025128|112025128|112025128_000001|Defunciones parroquiales_1938,Vol 26 - DGS(112025128)|Defunciones parroquiales_1938,Vol 26 - DGS(112025128)|ES|Español|1938|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 26|Defunciones parroquiales-1936—1938|
112025432|112025432|112025432_000001|Defunciones parroquiales_1936,Vol 25 - DGS(112025432)|Defunciones parroquiales_1936,Vol 25 - DGS(112025432)|ES|Español|1936|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 25|Defunciones parroquiales-1934—1936|
112025708|112025708|112025708_000001|Defunciones parroquiales_1934,Vol 24 - DGS(112025708)|Defunciones parroquiales_1934,Vol 24 - DGS(112025708)|ES|Español|1934|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 24|Defunciones parroquiales-1932—1934|
