"Provider","Property Manager","Provider Property ID","Expedia ID","Name","Country Code","Public Code","Code","Reason Codes","Messages","In-process Time","Timestamp (UTC)","Onboarding Start (UTC)","Onboarding End (UTC)","Time to Onboard"
"RentalsUnited","Livily","4241933","126961501","McNary 20","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:47.005Z","2026-03-02T04:21:07.386Z","2026-03-02T04:21:47.005Z","00:00:39.6194301"
"RentalsUnited","Livily","4241916","126961499","Poplar 16","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:50.007Z","2026-03-02T04:21:07.544Z","2026-03-02T04:21:50.007Z","00:00:42.4630350"
"RentalsUnited","Livily","4241920","126961503","Tokatee 1","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:53.005Z","2026-03-02T04:21:07.749Z","2026-03-02T04:21:53.005Z","00:00:45.2561626"
"RentalsUnited","Livily","4242152","126961515","Marbella Lane - Stylish 4BR w Revitalizing View","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:54.004Z","2026-03-02T04:21:08.267Z","2026-03-02T04:21:54.004Z","00:00:45.7378566"
"RentalsUnited","Livily","4241934","126961504","Pine Cone 3","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:51.009Z","2026-03-02T04:21:08.408Z","2026-03-02T04:21:51.009Z","00:00:42.6010429"
"RentalsUnited","Livily","4241947","126961517","Sequoia 14","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T07:24:25.005Z","2026-03-02T04:21:08.519Z","2026-03-02T04:22:01.005Z","00:00:52.4867404"
"RentalsUnited","Livily","4241944","126961502","Lookout 3","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:48.006Z","2026-03-02T04:21:08.536Z","2026-03-02T04:21:48.006Z","00:00:39.4704441"
"RentalsUnited","Livily","4242139","126961511","3 Blocks to Bay + Boat Parking + Renovated + 3 Bd","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:54.004Z","2026-03-02T04:21:08.717Z","2026-03-02T04:21:54.004Z","00:00:45.2878136"
"RentalsUnited","Livily","4241945","126961510","Mt Bachelor Retreat - 221","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T07:23:32.005Z","2026-03-02T04:21:08.722Z","2026-03-02T04:21:56.005Z","00:00:47.2836305"
"RentalsUnited","Livily","4241941","126961505","Pole House 99","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:50.005Z","2026-03-02T04:21:08.736Z","2026-03-02T04:21:50.005Z","00:00:41.2697064"
"RentalsUnited","Livily","4242195","126961509","Marbella Lane - The Wine Mine Desert Escape","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:51.005Z","2026-03-02T04:21:08.786Z","2026-03-02T04:21:51.005Z","00:00:42.2190342"
